"run_id","block","engine","language","corpus","k","iters","threads","rep","fit_sec","wall_sec","max_rss_kb","r2","coherence_mean","coherence_median","coherence_sd","version"
"textmineR__20ng__k100__i200__t4__r1","threads","textmineR","R","20ng",100,200,4,1,1665.136,1685.02,464512,0.54807534943,0.161777044,0.14908787555,0.077996863142,"3.0.6"
"textmineR__20ng__k100__i200__t8__r1","threads","textmineR","R","20ng",100,200,8,1,1664.734,1684.59,456908,0.54807534943,0.161777044,0.14908787555,0.077996863142,"3.0.6"
"textmineR__20ng__k100__i200__t12__r1","threads","textmineR","R","20ng",100,200,12,1,1659.563,1679.23,456324,0.54807534943,0.161777044,0.14908787555,0.077996863142,"3.0.6"
"textmineR__20ng__k100__i500__t1__r1","frontier","textmineR","R","20ng",100,500,1,1,4144.02,4163,403332,0.55299952889,0.16160632424,0.14195278843,0.078940150433,"3.0.6"
"tidylda__20ng__k100__i20__t1__r1","frontier","tidylda","R","20ng",100,20,1,1,7.749,28.22,488200,0.34991293171,0.09313463013,0.080893360778,0.051701224239,"0.1.0"
"tidylda__20ng__k100__i50__t1__r1","frontier","tidylda","R","20ng",100,50,1,1,10.199,30.39,478516,0.46219336908,0.11640235894,0.099490510224,0.071254817051,"0.1.0"
"tidylda__20ng__k100__i100__t1__r1","frontier","tidylda","R","20ng",100,100,1,1,14.78,34.96,489780,0.50443510986,0.12631338402,0.1109726251,0.068895651134,"0.1.0"
"tidylda__20ng__k100__i200__t1__r1","frontier","tidylda","R","20ng",100,200,1,1,23.363,43.72,489308,0.52845311783,0.13969921047,0.12592260149,0.072376072231,"0.1.0"
"tidylda__20ng__k100__i200__t2__r1","threads","tidylda","R","20ng",100,200,2,1,16.027,36.44,489768,0.52845311783,0.13969921047,0.12592260149,0.072376072231,"0.1.0"
"tidylda__20ng__k100__i200__t4__r1","threads","tidylda","R","20ng",100,200,4,1,9.891,30.2,489376,0.52845311783,0.13969921047,0.12592260149,0.072376072231,"0.1.0"
"tidylda__20ng__k100__i200__t8__r1","threads","tidylda","R","20ng",100,200,8,1,5.675,26.09,490012,0.52845311783,0.13969921047,0.12592260149,0.072376072231,"0.1.0"
"tidylda__20ng__k100__i200__t12__r1","threads","tidylda","R","20ng",100,200,12,1,4.466,24.69,489252,0.52845311783,0.13969921047,0.12592260149,0.072376072231,"0.1.0"
"tidylda__20ng__k100__i500__t1__r1","frontier","tidylda","R","20ng",100,500,1,1,49.063,69.4,487376,0.54577839587,0.15174640348,0.12961553999,0.070275670723,"0.1.0"
"tomotopy__20ng__k100__i20__t1__r1","frontier","tomotopy","Python","20ng",100,20,1,1,4.8141725152,5.54,241384,0.52768052433,0.14257096599,0.12461061136,0.092700333876,"0.14.0"
"tomotopy__20ng__k100__i50__t1__r1","frontier","tomotopy","Python","20ng",100,50,1,1,10.2760152193,11.01,242456,0.55262355539,0.14754266495,0.1215061658,0.093149023604,"0.14.0"
"tomotopy__20ng__k100__i100__t1__r1","frontier","tomotopy","Python","20ng",100,100,1,1,19.7509436929,20.49,240124,0.56465182252,0.15584250646,0.13410003671,0.09069316691,"0.14.0"
"tomotopy__20ng__k100__i200__t1__r1","frontier","tomotopy","Python","20ng",100,200,1,1,38.0427594539,38.76,240880,0.57027883938,0.15892796939,0.13762036865,0.096327570737,"0.14.0"
"tomotopy__20ng__k100__i200__t2__r1","threads","tomotopy","Python","20ng",100,200,2,1,21.9812372089,22.73,240172,0.56288038346,0.15824958193,0.13691530227,0.10212065893,"0.14.0"
"tomotopy__20ng__k100__i200__t4__r1","threads","tomotopy","Python","20ng",100,200,4,1,13.4578383323,14.16,240436,0.54479916253,0.16174895598,0.142446036,0.0788929375,"0.14.0"
"tomotopy__20ng__k100__i200__t8__r1","threads","tomotopy","Python","20ng",100,200,8,1,9.569988538,10.32,240692,0.54878418639,0.15774725285,0.13370161636,0.090977952339,"0.14.0"
